id,Horizon,Data_Length,Layer,Train_Fraction,Seq_Len,mae_aggr,mae_indi,RefName
1,2,100,2,0.6,4,9.04620575486568,8.346573829650879,RNN_VOO_H02_1
2,2,100,2,0.6,14,8.28922602815448,7.477450847625732,RNN_VOO_H02_2
3,2,100,2,0.6,24,8.666918696189413,7.8556694984436035,RNN_VOO_H02_3
4,7,100,2,0.6,4,8.871815463952851,8.247540473937988,RNN_VOO_H07_4
5,7,100,2,0.6,14,7.590219173791273,6.720431327819824,RNN_VOO_H07_5
6,7,100,2,0.6,24,9.252219686702809,8.538139343261719,RNN_VOO_H07_6
7,2,100,3,0.6,4,9.330735591419955,8.521536827087402,RNN_VOO_H02_7
8,2,100,3,0.6,14,8.797791678950471,7.767223358154297,RNN_VOO_H02_8
9,2,100,3,0.6,24,8.660665706712372,7.846477508544922,RNN_VOO_H02_9
10,7,100,3,0.6,4,9.147118283991228,8.359122276306152,RNN_VOO_H07_10
11,7,100,3,0.6,14,7.839977336379717,6.958334445953369,RNN_VOO_H07_11
12,7,100,3,0.6,24,8.280610999282526,7.388476371765137,RNN_VOO_H07_12
13,2,100,2,0.7,4,9.215211181640624,9.102285385131836,RNN_VOO_H02_13
14,2,100,2,0.7,14,8.42027899559508,7.5837578773498535,RNN_VOO_H02_14
15,2,100,2,0.7,24,7.830164129083807,7.369429111480713,RNN_VOO_H02_15
16,7,100,2,0.7,4,9.352635498046874,9.18464469909668,RNN_VOO_H07_16
17,7,100,2,0.7,14,8.128428357712766,7.5482025146484375,RNN_VOO_H07_17
18,7,100,2,0.7,24,8.397893732244318,8.0404634475708,RNN_VOO_H07_18
19,2,100,3,0.7,4,9.2135791015625,8.99790096282959,RNN_VOO_H02_19
20,2,100,3,0.7,14,8.70466905959109,8.03034496307373,RNN_VOO_H02_20
